accession,correct,genus,strain_name,location,virus_name,isolation_source,host,isolation_date,lab_culture,wastewater_sewage,standardized_host,host_category,standardized_location,zoonotic,processing_method,gemini_annotated,is_segmented,segment_label,manual_update
FJ827631.1,TRUE,Alphavirus,585-01,USA: Georgia,Highlands J virus,brain,non-human,2001,FALSE,FALSE,Buteo jamaicensis,Avian,"Georgia, USA",TRUE,ai,TRUE,FALSE,,
OL689388.1,TRUE,Orthoflavivirus,Br-354/11661,"Russia: Omsk Region, Krutinsky District, Tenis Lake",Omsk hemorrhagic fever virus,brain,non-human,Dec-2007,FALSE,FALSE,Ondatra zibethicus,Mammal,"Tenis Lake, Russia",TRUE,ai,TRUE,FALSE,,
KF726853.1,TRUE,Lyssavirus,JX10-37,China,Lyssavirus rabies,brain,non-human,30-Nov-2010,FALSE,FALSE,Melogale moschata,Mammal,"China, China",TRUE,ai,TRUE,FALSE,,
MH244513.1,TRUE,Orthoflavivirus,200.B/2013/Secovce/SVK,Slovakia: Secovce,West Nile virus,brain,non-human,2013,FALSE,FALSE,Accipiter nisus,Avian,"Secovce, Slovakia",TRUE,ai,TRUE,FALSE,,
PP447338.1,TRUE,Lyssavirus,NYS4645-21,"USA: Flagstaff, AZ",Lyssavirus rabies,brain,non-human,2021-08-05,FALSE,FALSE,Mephitis mephitis,Mammal,"Flagstaff, AZ, USA",TRUE,ai,TRUE,FALSE,,
OL449092.1,TRUE,Lyssavirus,DR1021,Romania: Vrancea county,Lyssavirus rabies,brain,non-human,2014,FALSE,FALSE,Canis lupus,Mammal,Romania,TRUE,ai,TRUE,FALSE,,
JF488094.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V5150/2004,USA: New York,West Nile virus,brain,non-human,2004,FALSE,FALSE,Corvus brachyrhynchos,Avian,"New York, USA",TRUE,ai,TRUE,FALSE,,
MN418181.1,TRUE,Lyssavirus,CT648095,"USA: Weston, CT",Lyssavirus rabies,brain,non-human,2016-12-14,FALSE,FALSE,Procyon lotor,Mammal,"Weston, USA",TRUE,ai,TRUE,FALSE,,
JF899528.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V4800/2004,USA: New York,West Nile virus,brain,non-human,2004,FALSE,FALSE,Corvus brachyrhynchos,Avian,"New York, USA",TRUE,ai,TRUE,FALSE,,
FJ712195.1,TRUE,Lyssavirus,F02,China,Lyssavirus rabies,brain,non-human,2008,FALSE,FALSE,Melogale moschata,Mammal,China,TRUE,ai,TRUE,FALSE,,
KU244267.2,TRUE,Lyssavirus,RV3267,Sri Lanka,Gannoruwa bat lyssavirus,brain,non-human,08-May-2015,FALSE,FALSE,Pteropus giganteus,Mammal,Sri Lanka,TRUE,ai,TRUE,FALSE,,
KC762941.1,TRUE,Lyssavirus,JX09-17(fb),China,Lyssavirus rabies,brain,non-human,Jan-2009,FALSE,FALSE,Melogale moschata,Mammal,China,TRUE,ai,TRUE,FALSE,,
OQ603680.1,TRUE,Lyssavirus,RABV_GEO_80,Georgia: Kakheti,Lyssavirus rabies,brain tissue,non-human,2020/2022,FALSE,FALSE,Canis aureus,Mammal,"Kakheti, Georgia",TRUE,ai,TRUE,FALSE,,
GU170201.1,TRUE,Lyssavirus,Shimoni,Kenya,Lyssavirus shimoni,brain tissue,non-human,15-Jun-2009,FALSE,FALSE,Hipposideros commersoni,Mammal,Kenya,TRUE,ai,TRUE,FALSE,,
KY952219.1,TRUE,Lyssavirus,CQHy2014W/China/2014,China,Lyssavirus rabies,brain tissue,non-human,2014,FALSE,FALSE,Canis lupus,Mammal,China,TRUE,ai,TRUE,FALSE,,
KP821657.1,TRUE,Orbivirus,GRE1999/26,Greece: Keramidi-Magnesia,Bluetongue virus 4,C.obsoletus,non-human,Oct-1999,TRUE,FALSE,Culicoides obsoletus,Insect,"Keramidi-Magnesia, Greece",TRUE,ai,TRUE,TRUE,7,
KP821659.1,TRUE,Orbivirus,GRE2000/08,Greece: Kavala,Bluetongue virus 4,C.obsoletus,non-human,Apr-2000,TRUE,FALSE,Culicoides obsoletus,Insect,"Kavala, Greece",TRUE,ai,TRUE,TRUE,7,
KP821752.1,TRUE,Orbivirus,ITL 1001,Italy: Novara di Sicilia-Sicily,Bluetongue virus 2,C.pulicaris,non-human,Jul-2002,TRUE,FALSE,Culex pipiens,Insect,"Novara di Sicilia, Italy",TRUE,ai,TRUE,TRUE,8,
ON812495.1,TRUE,Alpharicinrhavirus,TIGMIC_11,China:Hubei,Wuhan Tick Virus 1,cattle,non-human,2019,FALSE,FALSE,Rhipicephalus microplus,Insect,"Hubei, China",TRUE,ai,TRUE,FALSE,,
ON812488.1,TRUE,Alpharicinrhavirus,TIGMIC_4,China:Fujiang,Wuhan Tick Virus 1,cattle,non-human,2019,FALSE,FALSE,Rhipicephalus microplus,Insect,"Fujiang, China",TRUE,ai,TRUE,FALSE,,
ON812499.1,TRUE,Rhabdoviridae,TIGMIC_3,China:Sichuan,Rhipicephalus associated rhabdo-like virus,cattle,non-human,2017,FALSE,FALSE,Rhipicephalus microplus,Insect,"Sichuan, China",FALSE,ai,TRUE,FALSE,,
ON812487.1,TRUE,Alpharicinrhavirus,TIGMIC_3,China:Fujiang,Wuhan Tick Virus 1,cattle,non-human,2019,FALSE,FALSE,Rhipicephalus microplus,Insect,"Fujiang, China",TRUE,ai,TRUE,FALSE,,
ON812486.1,TRUE,Alpharicinrhavirus,TIGMIC_2,China:Fujiang,Wuhan Tick Virus 1,cattle,non-human,2019,FALSE,FALSE,Rhipicephalus microplus,Insect,"Fujiang, China",TRUE,ai,TRUE,FALSE,,
NC_024684.1,TRUE,Atadenovirus,23-06,Germany,Lizard adenovirus 2,cell line ATCC CCL-108,non-human,2006,TRUE,FALSE,Heloderma horridum,Reptile,Germany,FALSE,ai,TRUE,FALSE,,
KJ156523.1,TRUE,Atadenovirus,23-06,Germany,Lizard adenovirus 2,cell line ATCC CCL-108,non-human,2006,TRUE,FALSE,Heloderma horridum,Reptile," , Germany",FALSE,ai,TRUE,FALSE,,
HQ671713.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V4905/2001,USA: Connecticut,West Nile virus,cell supernatant,non-human,2001,TRUE,FALSE,Corvus brachyrhynchos,Avian,"Connecticut, USA",TRUE,ai,TRUE,FALSE,,
HM488134.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V4198/2001,USA: Connecticut,West Nile virus,cell supernatant,non-human,2001,TRUE,FALSE,Ochlerotatus sollicitans,Insect,"Connecticut, USA",TRUE,ai,TRUE,FALSE,,
HM488126.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V4187/1999,USA: Connecticut,West Nile virus,cell supernatant,non-human,1999,TRUE,FALSE,Corvus brachyrhynchos,Avian,"Connecticut, USA",TRUE,ai,TRUE,FALSE,,
HM488232.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V4614/2003,USA: Connecticut,West Nile virus,cell supernatant,non-human,2003,TRUE,FALSE,Culiseta melanura,Insect,"Connecticut, USA",TRUE,ai,TRUE,FALSE,,
HM488128.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V4189/1999,USA: Connecticut,West Nile virus,cell supernatant,non-human,1999,TRUE,FALSE,Corvus brachyrhynchos,Avian,"Connecticut, USA",TRUE,ai,TRUE,FALSE,,
JF972636.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V5228/2008,USA: Connecticut,West Nile virus,cell supernatant,non-human,2008,TRUE,FALSE,Culiseta melanura,Insect,"Connecticut, USA",TRUE,ai,TRUE,FALSE,,
JN819309.1,TRUE,Orthoflavivirus,WNV-1/BID-V5036,,West Nile virus,cell supernatant,non-human,,TRUE,FALSE,,Other,,TRUE,ai,TRUE,FALSE,,
MF370534.1,TRUE,Orthoflavivirus,PR5782-BeAn838691,Brazil,Yellow fever virus,cell suspension,non-human,05-Apr-2016,TRUE,FALSE,Callithrix penicillata,Mammal,"Unknown, Brazil",TRUE,ai,TRUE,FALSE,,
OR004157.1,TRUE,Gammapolyomavirus,LBF_41,USA: Arizona,Gammapolyomavirus avis,cloacal swab,non-human,09-Jun-2022,FALSE,FALSE,Agapornis roseicollis,Avian,"Arizona, USA",FALSE,ai,TRUE,FALSE,,
JQ685932.1,TRUE,Lyssavirus,SM5076,USA,Lyssavirus rabies,CNS,non-human,2001,FALSE,FALSE,Mephitis mephitis,Mammal,"Unknown, USA",TRUE,ai,TRUE,FALSE,,
JQ685931.1,TRUE,Lyssavirus,WA0173,USA,Lyssavirus rabies,CNS,non-human,2000,FALSE,FALSE,Eptesicus fuscus,Mammal,USA,TRUE,ai,TRUE,FALSE,,
JQ685898.1,TRUE,Lyssavirus,A093500,USA,Lyssavirus rabies,CNS,non-human,2009,FALSE,FALSE,Eptesicus fuscus,Mammal,,TRUE,ai,TRUE,FALSE,,
JQ685965.1,TRUE,Lyssavirus,A02-2972,USA,Lyssavirus rabies,CNS,non-human,2002,FALSE,FALSE,Parastrellus hesperus,Mammal,"Unknown, USA",TRUE,ai,TRUE,FALSE,,
JQ685934.1,TRUE,Lyssavirus,2401,USA,Lyssavirus rabies,CNS,non-human,2009,FALSE,FALSE,Urocyon cinereoargenteus,Mammal,,TRUE,ai,TRUE,FALSE,,
JQ685956.1,TRUE,Lyssavirus,AZBAT-7453,USA,Lyssavirus rabies,CNS,non-human,1975,FALSE,FALSE,Eptesicus fuscus,Mammal,USA,TRUE,ai,TRUE,FALSE,,
JQ685971.1,TRUE,Lyssavirus,AZ3003,USA,Lyssavirus rabies,CNS,non-human,2009,FALSE,FALSE,Antrozous pallidus,Mammal,USA,TRUE,ai,TRUE,FALSE,,
JQ685910.1,TRUE,Lyssavirus,TX5960,USA,Lyssavirus rabies,CNS,non-human,2002,FALSE,FALSE,Lasiurus xanthinus,Mammal,USA,TRUE,ai,TRUE,FALSE,,
JQ685946.1,TRUE,Lyssavirus,SM4862,USA,Lyssavirus rabies,CNS,non-human,1999,FALSE,FALSE,Eptesicus fuscus,Mammal,USA,TRUE,ai,TRUE,FALSE,,
JQ685954.1,TRUE,Lyssavirus,MEXSK13938,Mexico,Lyssavirus rabies,CNS,non-human,2007,FALSE,FALSE,Spilogale putorius,Mammal,Mexico,TRUE,ai,TRUE,FALSE,,
JQ685901.1,TRUE,Lyssavirus,RAC,USA,Lyssavirus rabies,CNS,non-human,2003,FALSE,FALSE,Procyon lotor,Mammal,"Unknown, USA",TRUE,ai,TRUE,FALSE,,
JQ685944.1,TRUE,Lyssavirus,NC839,USA,Lyssavirus rabies,CNS,non-human,1984,FALSE,FALSE,striped skunk,Mammal,USA,TRUE,ai,TRUE,FALSE,,
MT774141.1,TRUE,Deltapapillomavirus,63-15,Slovenia,Capreolus capreolus papillomavirus 1,cutaneous fibropapilloma,non-human,2015,FALSE,FALSE,Capreolus capreolus,Mammal,,FALSE,ai,TRUE,FALSE,,
PP457641.1,TRUE,Rotavirus,RVA/Bovine/IRN/NZK-Fars-1/2009/G10P[11],Iran,Rotavirus A,diarrheic feces,non-human,2009,FALSE,FALSE,holstein calf,Mammal,Iran,TRUE,ai,TRUE,TRUE,8,
EU264072.1,TRUE,Avihepatovirus,F,"China: Fang-Shan area, BeiJing",avihepatovirus A1,duck embryo liver cell,non-human,,TRUE,FALSE,bird,Avian,"Fang-Shan, China",TRUE,ai,TRUE,FALSE,,
DQ256134.1,TRUE,Avihepatovirus,AP-04203,South Korea,Duck hepatitis A virus 3,duckling liver,non-human,,TRUE,FALSE,,Avian,"null, South Korea",TRUE,ai,TRUE,FALSE,,
HQ625440.1,TRUE,Pipapillomavirus,,Germany,Apodemus sylvaticus papillomavirus 1,ear skin,non-human,,FALSE,FALSE,Apodemus sylvaticus,Mammal,Germany,FALSE,ai,TRUE,FALSE,,
MK903863.1,TRUE,Crocodylidpoxvirus,CCF02,Australia,Saltwater crocodilepox virus,epidermal pox lesions,non-human,18-Jan-2018,FALSE,FALSE,Crocodylus porosus,Reptile,"Unknown, Australia",FALSE,ai,TRUE,FALSE,,
MG450916.1,TRUE,Crocodylidpoxvirus,,Australia,Saltwater crocodilepox virus,Epidermal pox lesions,non-human,20-Feb-2017,FALSE,FALSE,Crocodylus porosus,Reptile,"Unknown, Australia",FALSE,ai,TRUE,FALSE,,
KY446903.1,TRUE,Aphthovirus,FBD/QOL-UVAS-Pak/2005,Pakistan,Foot-and-mouth disease virus O,epithelial blisters,non-human,13-Oct-2005,FALSE,FALSE,Bubalus bubalis,Mammal,Pakistan,TRUE,ai,TRUE,FALSE,,
MT072321.1,TRUE,Leporipoxvirus,MYXV_tol_Lag06_EL,Spain: Ciudad Real,Myxoma virus,eyelid tissue,non-human,Sep-2018,FALSE,FALSE,Lepus granatensis,Mammal,"Ciudad Real, Spain",TRUE,ai,TRUE,FALSE,,
KJ501431.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6704/2006,USA,West Nile virus,feather pulp,non-human,2006,TRUE,FALSE,Pelecanus erythrorhynchos,Avian,,TRUE,ai,TRUE,FALSE,,
KJ501425.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6695/2007,USA,West Nile virus,feather pulp,non-human,2007,TRUE,FALSE,Pelecanus erythrorhynchos,Avian,USA,TRUE,ai,TRUE,FALSE,,
KJ501294.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6428/2003,USA,West Nile virus,feather pulp,non-human,2003,TRUE,FALSE,Corvus brachyrhynchos,Avian,"USA, USA",TRUE,ai,TRUE,FALSE,,
KJ501518.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V6640/2007,USA,West Nile virus,feather pulp,non-human,2007,TRUE,FALSE,Pelecanus erythrorhynchos,Avian,"Unknown, USA",TRUE,ai,TRUE,FALSE,,
MT234360.1,TRUE,Rotavirus,RVA/Buffalo-wt/ZAF/4426/2002/G29P[14],South Africa,Rotavirus A,fecal sample,non-human,2002,FALSE,FALSE,Syncerus caffer,Mammal,,TRUE,ai,TRUE,TRUE,6,
MT234364.1,TRUE,Rotavirus,RVA/Buffalo-wt/ZAF/4426/2002/G29P[14],South Africa,Rotavirus A,fecal sample,non-human,2002,FALSE,FALSE,Syncerus caffer,Mammal,South Africa,FALSE,ai,TRUE,TRUE,9,
OQ818321.1,TRUE,Sapelovirus,KEL272,Madagascar,Eidolon dupreanum sapelovirus 2,fecal swab,non-human,07-Jan-2019,FALSE,FALSE,Eidolon dupreanum,Mammal,Madagascar,TRUE,ai,TRUE,FALSE,,
OP743356.2,TRUE,Densovirinae,OPh-DNV/GBF4/oriental pied hornbill/2018,China,Densovirinae sp.,feces,non-human,28-Jun-2018,FALSE,FALSE,Anthracoceros albirostris,Avian,China,TRUE,ai,TRUE,FALSE,,
KY312545.1,TRUE,Grusopivirus,yc-6,China,grusopivirus B1,feces,non-human,Dec-2014,FALSE,FALSE,Grus japonensis,Avian,"Unknown, China",FALSE,ai,TRUE,FALSE,,
NC_075280.1,TRUE,Picornaviridae,yc-1,China,Picornaviridae sp.,feces,non-human,Dec-2014,FALSE,FALSE,Grus japonensis,Avian,,TRUE,ai,TRUE,FALSE,,
KY312547.1,TRUE,Aveparvovirus,yc-8,China,Red-crowned crane parvovirus,feces,non-human,Dec-2014,FALSE,FALSE,Grus japonensis,Avian," , China",FALSE,ai,TRUE,FALSE,,
